Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
4424,Nej TV a.s.,Prague,2018-03-23T02:05:04.416938Z,3.5675402088293633,15.208,10675319.472946148,10093873.630412575,,94.230.157.82
1841,Vodafone CZ,Prague,2018-03-23T03:05:03.035587Z,3.5675402088293633,18.626,13162969.632611616,10011841.215509797,,94.230.157.82
4162,ISP Alliance a.s.,Prague,2018-03-23T04:05:03.027831Z,3.5675402088293633,14.418,9736547.172886604,10052806.218394812,,94.230.157.82
4162,ISP Alliance a.s.,Prague,2018-03-23T05:05:03.051730Z,3.5675402088293633,15.993,7444428.666230281,7333076.053738447,,94.230.157.82
4162,ISP Alliance a.s.,Prague,2018-03-23T06:05:03.255525Z,3.5675402088293633,13.931,12241494.723118935,10166524.51542292,,94.230.157.82
4162,ISP Alliance a.s.,Prague,2018-03-23T07:05:02.498473Z,3.5675402088293633,12.891,10179156.825376166,9788975.853427716,,94.230.157.82
9788,JM-Net z.s.,Prague,2018-03-23T08:05:02.503854Z,3.5675402088293633,11.693,12546424.552854067,10147565.219715323,,94.230.157.82
4162,ISP Alliance a.s.,Prague,2018-03-23T09:05:02.518435Z,3.5675402088293633,14.929,12841567.21226193,10156611.702609083,,94.230.157.82
4162,ISP Alliance a.s.,Prague,2018-03-23T10:05:03.824937Z,3.5675402088293633,13.963,10484710.679144384,10019740.815970141,,94.230.157.82
1841,Vodafone CZ,Prague,2018-03-23T11:05:02.567030Z,3.5675402088293633,15.789,10659308.784163257,9996670.37003519,,94.230.157.82
1841,Vodafone CZ,Prague,2018-03-23T12:05:02.769735Z,3.5675402088293633,15.512,10967941.025237324,8583243.435816303,,94.230.157.82
11290,HBO Europe s.r.o.,Prague,2018-03-23T13:05:02.743744Z,3.5675402088293633,14.373,13301493.342112122,10168487.122949228,,94.230.157.82
4162,ISP Alliance a.s.,Prague,2018-03-23T14:05:02.162838Z,3.5675402088293633,13.233,11890276.57939869,10160961.506845066,,94.230.157.82
